X,Y,OBJECTID,GLOBALID,TRCMID,ASSETID,TRCM_CAT,ASSETCODE,OWNER,LOCGEN,INSTYR,MAT,ASSETDESC,ASSETSTAT,LOCATION,MAINTBY,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.734780229,44.8095662690001,680,{DB14B0D2-BDEE-4076-9B59-186566A64951},TRCLM443,TRCLM443,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,SPRINGFIELD LAKE RD,HRM,2021/11/15 22:15:48+00,2021/11/15 22:16:23+00,2021/11/15 04:00:00+00,Traffic Management,
-63.724284369,44.798187483,681,{86D5607A-827A-419C-9BD7-2220A4F304EF},TRCLM141,TRCLM141,VERTI,SPDHMP,HRM,ROW,2019,ASPH,,INS,LIVELY RD,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.6143963179999,44.65543246,682,{966815BF-7F5C-4F78-B063-87B81DB7683D},TRCLM249,TRCLM249,VERTI,SPDHMP,HRM,ROW,2020,ASPH,,INS,EDGEWOOD AVE,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.5439056979999,44.696387858,683,{34AB6E45-E9C4-467D-B88F-196E33CF8973},TRCLM699,TRCLM699,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,BONITA DR,HRM,2021/11/19 22:23:44+00,2022/12/14 22:07:31+00,2022/06/03 03:00:00+00,Traffic Management,
-63.8055527069999,44.7313293660001,684,{BF064B2B-8D1D-49BC-8F05-303A24954151},TRCLM825,TRCLM825,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,YANKEETOWN RD,HRM,2021/11/23 17:43:50+00,2022/06/03 21:57:27+00,2021/11/23 04:00:00+00,Traffic Management,
-63.74553811,44.7175018900001,685,{2BAB1A48-3D7A-413F-B96F-6AC39BEAE6D8},TRCLM639,TRCLM639,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,BRENDA DR,HRM,2021/11/19 19:54:18+00,2022/10/26 21:25:28+00,,,
-63.6459642029999,44.649418262,688,{E0E03C8D-C7D9-4CBF-B3E8-009F446A83D5},TRCLM528,TRCLM528,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,ROSEDALE AVE,HRM,2021/11/17 19:14:17+00,2021/11/17 19:23:49+00,2021/11/17 04:00:00+00,Traffic Management,
-63.728909369,44.7992894830001,689,{EB6A6AF3-9C7D-4279-A255-25BE792D65EC},TRCLM133,TRCLM133,VERTI,SPDHMP,HRM,ROW,2019,ASPH,,INS,ROSEMARY DR,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:26+00,,Traffic Management,
-63.6538453439999,44.7968404800001,690,{F1DE2E83-2429-4A22-A7EE-7C9A5231BEB7},TRCLM171,TRCLM171,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,TAYLOR DR,HRM,2021/10/07 15:57:03+00,2021/10/07 16:01:25+00,,Traffic Management,
-63.4609437459999,44.614453822,691,{B39516FE-9961-4F1E-A54B-36F3474F5076},TRCLM563,TRCLM563,VERTI,SPDHMP,HRM,ROW,2021,ASPH,,INS,SAMUEL DANIAL DR,HRM,2021/11/18 17:27:23+00,2021/11/18 17:27:55+00,2021/11/18 04:00:00+00,Traffic Management,
-63.671535911,44.7301295240001,696,{60C02D0D-B6A1-4ACE-B9D4-5BD025D3F638},TRCLM398,TRCLM398,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,RUTLEDGE ST,HRM,2021/11/15 19:19:34+00,2021/12/06 22:02:25+00,2021/11/15 04:00:00+00,Traffic Management,
